NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;DHUMEC;QDHUMEC;PMERM;QPMERM;PMERMIN;QPMERMIN;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;INFRART;QINFRART; UV;QUV;UV_INDICEX;QUV_INDICEX;SIGMA;QSIGMA;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;UM;QUM;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE; ECOULEMENTM;QECOULEMENTM;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE; VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;NB300;QNB300;BA300;QBA300;TMERMIN;QTMERMIN;TMERMAX;QTMERMAX
 01014002;ARBENT;46.278167;5.669000;534;20230101;;;;;;;;;;;;;;;;;;;;;;;43;1;1944;9;75;1;27;9;55;1;0;9;0;9;8.9;9;;;3.1;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20230102;;;;;;;;;;;;;;;;;;;;;;;38;1;318;9;99;1;1947;9;66;1;218;9;515;9;8.5;9;;;1.9;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20230103;;;;;;;;;;;;;;;;;;;;;;;74;1;1301;9;100;1;1820;9;95;1;0;9;1374;9;9.0;9;;;0.2;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20230104;;;;;;;;;;;;;;;;;;;;;;;88;1;1400;9;100;1;1;9;97;1;0;9;1440;9;8.6;9;;;0.0;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20230105;;;;;;;;;;;;;;;;;;;;;;;90;1;1305;9;100;1;536;9;98;1;0;9;1440;9;11.0;9;;;0.1;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20230106;;;;;;;;;;;;;;;;;;;;;;;82;1;2309;9;100;1;547;9;94;1;0;9;1440;9;9.5;9;;;0.3;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20230107;;;;;;;;;;;;;;;;;;;;;;;52;1;2208;9;84;1;102;9;65;1;0;9;214;9;8.0;9;;;1.7;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20230108;;;;;;;;;;;;;;;;;;;;;;;55;1;1;9;94;1;707;9;84;1;0;9;1260;9;9.7;9;;;0.6;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20230109;;;;;;;;;;;;;;;;;;;;;;;80;1;13;9;95;1;1306;9;89;1;0;9;1440;9;7.2;9;;;0.2;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20230110;;;;;;;;;;;;;;;;;;;;;;;53;1;1303;9;95;1;136;9;78;1;0;9;762;9;6.6;9;;;0.7;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
